Bosnia and Herzegovina;3277152;51000;43;52;0.04
Mongolia;3287242;1553560;28;67;0.04
Armenia;2964219;28470;35;63;0.04
Jamaica;2963429;10830;31;55;0.04
Qatar;2889284;11610;32;96;0.04
Albania;2877239;27400;36;63;0.04
Puerto Rico;2846860;8870;44;N.A.;0.04
Lithuania;2715340;62674;45;71;0.03
Namibia;2548663;823290;22;55;0.03
Gambia;2427782;10120;18;59;0.03
Botswana;2359585;566730;24;73;0.03
Gabon;2234448;257670;23;87;0.03
Lesotho;2145194;30360;24;31;0.03
North Macedonia;2083359;25220;39;59;0.03
Slovenia;2078989;20140;45;55;0.03
Guinea-Bissau;1975718;28120;19;45;0.03
Latvia;1882408;62200;44;69;0.02
Bahrain;1711057;760;32;89;0.02
Equatorial Guinea;1410419;28050;22;73;0.02
Trinidad and Tobago;1400283;5130;36;52;0.02
Estonia;1326693;42390;42;68;0.02
Timor-Leste;1322667;14870;21;33;0.02
Mauritius;1272140;2030;37;41;0.02
Cyprus;1208886;9240;37;67;0.02
Eswatini;1162233;17200;21;30;0.01
Djibouti;990447;23180;27;79;0.01
Fiji;897573;18270;28;59;0.01
Réunion;896422;2500;36;100;0.01
Comoros;872695;1861;20;29;0.01
Guyana;787215;196850;27;27;0.01
Bhutan;773069;38117;28;46;0.01
Solomon Islands;689671;27990;20;23;0.01
Macao;650846;30;39;N.A.;0.01
Montenegro;628080;13450;39;68;0.01
Luxembourg;627704;2590;40;88;0.01
Western Sahara;599769;266000;28;87;0.01
Suriname;587541;156000;29;65;0.01
Cabo Verde;557026;4030;28;68;0.01
Maldives;542151;300;30;35;0.01
Malta;441750;320;43;93;0.01
Brunei;438202;5270;32;80;0.01
Guadeloupe;400136;1690;44;N.A.;0.01
Belize;398845;22810;25;46;0.01
Bahamas;393893;10010;32;86;0.01
Martinique;375213;1060;47;92;0.00
Iceland;341628;100250;37;94;0.00
Vanuatu;308337;12190;21;24;0.00
French Guiana;299958;82200;25;87;0.00
Barbados;287437;430;40;31;0.00
New Caledonia;285972;18280;34;72;0.00
French Polynesia;281191;3660;34;64;0.00
Mayotte;273905;375;20;46;0.00
Sao Tome & Principe;219844;960;19;74;0.00
Samoa;198643;2830;22;18;0.00
Saint Lucia;183774;610;34;19;0.00
Channel Islands;174140;190;43;30;0.00
Guam;169031;540;31;95;0.00
Curaçao;164211;444;42;89;0.00
Kiribati;119760;810;23;57;0.00
Micronesia;115231;700;24;21;0.00
Grenada;112614;340;32;35;0.00
St. Vincent & Grenadines;111002;390;33;53;0.00
Aruba;106845;180;41;44;0.00
Tonga;105901;720;22;24;0.00
U.S. Virgin Islands;104398;350;43;96;0.00
Seychelles;98453;460;34;56;0.00
Antigua and Barbuda;98069;440;34;26;0.00
Isle of Man;85112;570;N.A.;53;0.00
Andorra;77287;470;N.A.;88;0.00
Dominica;72017;750;N.A.;74;0.00
Cayman Islands;65854;240;N.A.;97;0.00
Bermuda;62237;50;N.A.;97;0.00
Marshall Islands;59259;180;N.A.;70;0.00
Northern Mariana Islands;57619;460;N.A.;88;0.00
Greenland;56787;410450;N.A.;87;0.00
American Samoa;55169;200;N.A.;88;0.00
Saint Kitts & Nevis;53264;260;N.A.;33;0.00
Faeroe Islands;48896;1396;N.A.;43;0.00
Sint Maarten;42960;34;N.A.;96;0.00
Monaco;39290;1;N.A.;N.A.;0.00
Turks and Caicos;38806;950;N.A.;89;0.00
Saint Martin;38778;53;N.A.;0;0.00
Liechtenstein;38147;160;N.A.;15;0.00
San Marino;33944;60;N.A.;97;0.00
Gibraltar;33689;10;N.A.;N.A.;0.00
British Virgin Islands;30266;150;N.A.;52;0.00
Caribbean Netherlands;26265;328;N.A.;75;0.00
Palau;18109;460;N.A.;N.A.;0.00
Cook Islands;17567;240;N.A.;75;0.00
Anguilla;15026;90;N.A.;N.A.;0.00
Tuvalu;11817;30;N.A.;62;0.00
Wallis & Futuna;11203;140;N.A.;0;0.00
Nauru;10836;20;N.A.;N.A.;0.00
Saint Barthelemy;9882;21;N.A.;0;0.00
Saint Helena;6080;390;N.A.;27;0.00
Saint Pierre & Miquelon;5789;230;N.A.;100;0.00
Montserrat;4993;100;N.A.;10;0.00
Falkland Islands;3497;12170;N.A.;66;0.00
Niue;1628;260;N.A.;46;0.00
Tokelau;1360;10;N.A.;0;0.00
Holy See;801;0;N.A.;N.A.;0.00
